Date,Portal Received Time,Ignition Status,Ride Mode,Speed (km/h),Odometer (km),GPS Location,Battery Soc(%),Battery Current(A),SOH,Battery Pack Voltage,Charge Cycle,Vehicle Status,Cumulative Power,Min Cell Id,Max Cell Id,Min Cell Temp,Max Cell Temp,Temperature,Motor Temperature,MCU Board Temp
2025-09-01 00:41:57,2025-09-01 00:42:00,Off,0,0,253,13.079313149999999-80.19951984999999,69,0,100,53.252,2,Stop,5525,1,7,30,30,30,-,-
2025-09-01 00:50:00,2025-09-01 00:50:04,Off,0,0,253,13.078517666666668-80.1991862,69,0,100,53.252,2,Stop,5524,1,6,30,30,30,-,-
2025-09-01 01:50:50,2025-09-01 01:50:53,Off,0,0,253,13.078489183333334-80.19917806666668,69,0,100,53.253,2,Stop,5524,1,9,29,30,29,-,-
2025-09-01 02:51:37,2025-09-01 02:51:42,Off,0,0,253,13.078324383333332-80.19890136666666,69,0,100,53.25,2,Stop,5523,1,13,29,30,29,-,-
2025-09-01 03:52:27,2025-09-01 03:52:31,Off,0,0,253,13.0785787-80.19921875,69,0,100,53.252,2,Stop,5522,1,6,29,29,29,-,-
2025-09-01 04:53:15,2025-09-01 04:53:18,Off,0,0,253,13.078645833333333-80.19923503333332,69,0,100,53.251,2,Stop,5522,1,10,28,29,28,-,-
2025-09-01 05:54:04,2025-09-01 05:54:08,Off,0,0,253,13.078621416666666-80.19910481666668,69,0,100,53.25,2,Stop,5521,1,13,28,29,28,-,-
2025-09-01 06:54:54,2025-09-01 06:54:57,Off,0,0,253,13.078714999999999-80.19920246666668,69,0,100,53.25,2,Stop,5520,1,13,28,28,28,-,-
2025-09-01 07:03:00,2025-09-01 07:03:04,Off,0,0,253,13.078580733333334-80.19903158333334,69,0,100,53.25,2,Stop,5520,1,13,28,28,28,-,-
2025-09-01 08:03:50,2025-09-01 08:03:54,Off,0,0,253,13.079020183333334-80.19933268333332,69,0,100,53.25,2,Stop,5519,1,13,28,28,28,-,-
2025-09-01 08:48:20,2025-09-01 08:48:24,On,2,0,253,13.078576666666667-80.19922688333332,69,0,100,53.248,2,Idle,5519,1,1,28,28,28,-,-
2025-09-01 08:49:19,2025-09-01 08:49:22,On,0,0,253,13.078474933333332-80.1991862,69,0,100,53.234,2,Idle,5518,1,13,28,28,28,-,-
2025-09-01 08:50:20,2025-09-01 08:50:23,On,0,0,253,13.078637700000002-80.19911295,69,0,100,53.233,2,Idle,5518,1,13,28,28,28,-,-
2025-09-01 08:51:19,2025-09-01 08:51:23,On,0,0,253,13.078550216666667-80.1990804,69,0,100,53.233,2,Idle,5518,1,13,28,28,28,-,-
2025-09-01 08:52:19,2025-09-01 08:52:24,On,0,0,253,13.078495283333332-80.1990804,69,0,100,53.232,2,Idle,5518,1,1,28,28,28,-,-
2025-09-01 08:53:19,2025-09-01 08:53:23,On,0,0,253,13.078381349999999-80.19915365,69,0,100,53.232,2,Idle,5518,1,1,28,28,28,-,-
2025-09-01 08:54:19,2025-09-01 08:54:22,On,0,0,253,13.078417966666667-80.19904785,69,0,100,53.232,2,Idle,5518,1,1,28,28,28,-,-
2025-09-01 08:55:19,2025-09-01 08:55:22,On,0,0,253,13.078535966666667-80.19913736666668,69,0,100,53.229,2,Idle,5517,1,2,28,28,28,-,-
2025-09-01 08:56:18,2025-09-01 08:56:22,On,0,0,253,13.078564449999998-80.19917806666668,69,0,100,53.225,2,Idle,5517,1,6,28,28,28,-,-
2025-09-01 08:57:18,2025-09-01 08:57:22,On,0,0,253,13.078560383333334-80.1991455,69,0,100,53.219,2,Idle,5517,1,10,28,28,28,-,-
2025-09-01 08:58:18,2025-09-01 08:58:23,On,0,0,253,13.078554283333336-80.19916991666668,69,0,100,53.22,2,Idle,5517,1,6,28,28,28,-,-
2025-09-01 08:59:18,2025-09-01 08:59:21,On,0,0,253,13.078470866666665-80.1991455,69,0,100,53.219,2,Idle,5517,1,10,28,28,28,-,-
2025-09-01 09:00:18,2025-09-01 09:00:21,On,0,0,253,13.078523766666668-80.19913736666668,69,0,100,53.219,2,Idle,5517,1,10,28,28,28,-,-
2025-09-01 09:01:17,2025-09-01 09:01:21,On,0,0,253,13.078566483333335-80.19919433333332,69,0,100,53.219,2,Idle,5517,1,10,28,28,28,-,-
2025-09-01 09:02:16,2025-09-01 09:02:20,Off,0,0,253,13.078560383333334-80.19921061666668,69,10,100,53.364,2,Charging,5524,1,10,28,28,28,-,-
2025-09-01 09:03:16,2025-09-01 09:03:20,Off,0,0,253,13.078535966666667-80.19921875,69,10,100,53.419,2,Charging,5533,3,1,28,28,28,-,-
2025-09-01 09:04:17,2025-09-01 09:04:20,Off,0,0,253,13.078527833333332-80.1991862,69,10,100,53.458,2,Charging,5542,1,11,28,28,28,-,-
2025-09-01 09:05:17,2025-09-01 09:05:20,Off,0,0,253,13.0785319-80.19917806666668,69,10,100,53.49,2,Charging,5551,1,11,28,28,28,-,-
2025-09-01 09:06:16,2025-09-01 09:06:20,Off,0,0,253,13.07854615-80.19916991666668,69,10,100,53.517,2,Charging,5560,6,16,28,28,28,-,-
2025-09-01 09:07:16,2025-09-01 09:07:20,Off,0,0,253,13.07854615-80.19916178333332,69,28,100,53.742,2,Charging,5577,6,11,28,28,28,-,-
2025-09-01 09:08:16,2025-09-01 09:08:20,Off,0,0,253,13.0785319-80.1991862,70,37,100,53.927,2,Charging,5609,6,11,28,28,28,-,-
2025-09-01 09:09:16,2025-09-01 09:09:19,Off,0,0,253,13.07854615-80.19915365,70,37,100,53.975,2,Charging,5643,6,11,28,28,28,-,-
2025-09-01 09:10:16,2025-09-01 09:10:19,Off,0,0,253,13.078548183333332-80.19917806666668,70,37,100,53.991,2,Charging,5676,6,11,28,28,28,-,-
2025-09-01 09:11:15,2025-09-01 09:11:20,Off,0,0,253,13.078535966666667-80.19924316666668,71,37,100,53.996,2,Charging,5710,6,11,28,28,28,-,-
2025-09-01 09:12:15,2025-09-01 09:12:20,Off,0,0,253,13.0785197-80.19926758333332,71,37,100,53.997,2,Charging,5744,6,11,28,28,28,-,-
2025-09-01 09:13:15,2025-09-01 09:13:19,Off,0,0,253,13.078550216666667-80.1992513,71,37,100,53.995,2,Charging,5777,6,11,28,28,28,-,-
2025-09-01 09:14:15,2025-09-01 09:14:18,Off,0,0,253,13.078548183333332-80.19925943333332,71,37,100,53.991,2,Charging,5811,6,11,28,28,28,-,-
2025-09-01 09:15:15,2025-09-01 09:15:18,Off,0,0,253,13.078554283333336-80.19924316666668,72,37,100,53.991,2,Charging,5844,6,11,28,28,28,-,-
2025-09-01 09:16:14,2025-09-01 09:16:18,Off,0,0,253,13.078542066666667-80.19926758333332,72,37,100,53.988,2,Charging,5877,6,11,28,28,28,-,-
2025-09-01 09:17:14,2025-09-01 09:17:20,Off,0,0,253,13.078521733333332-80.19932455,72,37,100,53.987,2,Charging,5911,6,11,28,29,28,-,-
2025-09-01 09:18:14,2025-09-01 09:18:19,Off,0,0,253,13.07849935-80.19930013333332,73,37,100,53.986,2,Charging,5944,5,11,28,29,28,-,-
2025-09-01 09:19:14,2025-09-01 09:19:17,Off,0,0,253,13.078535966666667-80.199292,73,37,100,53.985,2,Charging,5977,5,11,28,29,28,-,-
2025-09-01 09:20:14,2025-09-01 09:20:17,Off,0,0,253,13.078513583333331-80.19926758333332,73,36,100,53.983,2,Charging,6010,1,11,28,29,28,-,-
2025-09-01 09:21:13,2025-09-01 09:21:17,Off,0,0,253,13.0785197-80.19917806666668,74,36,100,53.981,2,Charging,6043,1,11,28,29,28,-,-
2025-09-01 09:22:13,2025-09-01 09:22:17,Off,0,0,253,13.07848715-80.19923503333332,74,36,100,53.981,2,Charging,6076,1,11,28,29,28,-,-
2025-09-01 09:23:13,2025-09-01 09:23:17,Off,0,0,253,13.078444416666665-80.19926758333332,74,36,100,53.981,2,Charging,6109,1,11,28,29,28,-,-
2025-09-01 09:24:13,2025-09-01 09:24:17,Off,0,0,253,13.078497316666668-80.19923503333332,75,36,100,53.981,2,Charging,6142,1,11,28,29,28,-,-
2025-09-01 09:25:12,2025-09-01 09:25:17,Off,0,0,253,13.078517666666668-80.19926758333332,75,36,100,53.979,2,Charging,6175,1,11,28,29,28,-,-
2025-09-01 09:26:12,2025-09-01 09:26:16,Off,0,0,253,13.078430183333333-80.19917806666668,75,36,100,53.979,2,Charging,6208,1,11,28,29,28,-,-
2025-09-01 09:27:12,2025-09-01 09:27:16,Off,0,0,253,13.078442383333334-80.19913736666668,75,36,100,53.98,2,Charging,6241,1,11,28,29,28,-,-
2025-09-01 09:28:12,2025-09-01 09:28:15,Off,0,0,253,13.078515633333332-80.19919433333332,76,36,100,53.979,2,Charging,6274,1,11,28,29,28,-,-
2025-09-01 09:29:12,2025-09-01 09:29:16,Off,0,0,253,13.078517666666668-80.19922688333332,76,36,100,53.98,2,Charging,6307,1,11,28,29,28,-,-
2025-09-01 09:30:11,2025-09-01 09:30:16,Off,0,0,253,13.078503416666669-80.1992513,76,36,100,53.983,2,Charging,6340,1,11,28,29,28,-,-
2025-09-01 09:31:11,2025-09-01 09:31:15,Off,0,0,253,13.078476966666665-80.19924316666668,77,36,100,53.981,2,Charging,6373,1,11,28,29,29,-,-
2025-09-01 09:32:11,2025-09-01 09:32:15,Off,0,0,253,13.078470866666665-80.19926758333332,77,36,100,53.986,2,Charging,6406,1,10,29,29,29,-,-
2025-09-01 09:33:11,2025-09-01 09:33:15,Off,0,0,253,13.078446450000001-80.19921875,77,36,100,53.986,2,Charging,6439,1,10,29,29,29,-,-
2025-09-01 09:34:11,2025-09-01 09:34:15,Off,0,0,253,13.078442383333334-80.19922688333332,78,36,100,53.986,2,Charging,6472,1,10,29,29,29,-,-
2025-09-01 09:35:10,2025-09-01 09:35:15,Off,0,0,253,13.078399649999998-80.19921061666668,78,36,100,53.987,2,Charging,6505,1,11,29,29,29,-,-
2025-09-01 09:36:10,2025-09-01 09:36:14,Off,0,0,253,13.07834065-80.19917806666668,78,36,100,53.989,2,Charging,6537,6,11,29,29,29,-,-
2025-09-01 09:37:10,2025-09-01 09:37:14,Off,0,0,253,13.07838745-80.19917806666668,79,36,100,53.989,2,Charging,6570,6,11,29,29,29,-,-
2025-09-01 09:38:10,2025-09-01 09:38:13,Off,0,0,253,13.078415933333334-80.19916178333332,79,36,100,53.99,2,Charging,6603,6,11,29,29,29,-,-
2025-09-01 09:39:10,2025-09-01 09:39:15,Off,0,0,253,13.078446450000001-80.19916991666668,79,36,100,53.992,2,Charging,6636,1,11,29,29,29,-,-
2025-09-01 09:40:09,2025-09-01 09:40:14,Off,0,0,253,13.078426100000001-80.19919433333332,79,36,100,53.995,2,Charging,6669,1,11,29,29,29,-,-
2025-09-01 09:41:09,2025-09-01 09:41:14,Off,0,0,253,13.078424066666665-80.1991862,80,36,100,53.999,2,Charging,6701,1,11,29,29,29,-,-
2025-09-01 09:42:09,2025-09-01 09:42:13,Off,0,0,253,13.078438316666666-80.19919433333332,80,36,100,54.001,2,Charging,6734,1,10,29,29,29,-,-
2025-09-01 09:43:09,2025-09-01 09:43:12,Off,0,0,253,13.078426100000001-80.19916178333332,80,36,100,54.003,2,Charging,6767,1,10,29,29,29,-,-
2025-09-01 09:44:09,2025-09-01 09:44:13,Off,0,0,253,13.078448483333334-80.19916991666668,81,36,100,54.004,2,Charging,6800,6,10,29,30,29,-,-
2025-09-01 09:45:08,2025-09-01 09:45:13,Off,0,0,253,13.078436283333334-80.1991211,81,36,100,54.006,2,Charging,6833,1,11,29,30,29,-,-
2025-09-01 09:46:08,2025-09-01 09:46:12,Off,0,0,253,13.078462733333334-80.19911295,81,36,100,54.008,2,Charging,6865,1,11,29,30,29,-,-
2025-09-01 09:47:08,2025-09-01 09:47:12,Off,0,0,253,13.07849935-80.19915365,82,36,100,54.011,2,Charging,6898,1,11,29,30,29,-,-
2025-09-01 09:48:08,2025-09-01 09:48:12,Off,0,0,253,13.078515633333332-80.19919433333332,82,36,100,54.016,2,Charging,6931,1,10,29,30,29,-,-
2025-09-01 09:49:08,2025-09-01 09:49:12,Off,0,0,253,13.078517666666668-80.1991862,82,36,100,54.018,2,Charging,6964,1,10,29,30,29,-,-
2025-09-01 09:50:08,2025-09-01 09:50:11,Off,0,0,253,13.078513583333331-80.19916178333332,83,36,100,54.02,2,Charging,6996,1,11,29,30,29,-,-
2025-09-01 09:51:07,2025-09-01 09:51:11,Off,0,0,253,13.0785258-80.19917806666668,83,36,100,54.022,2,Charging,7029,1,11,29,30,29,-,-
2025-09-01 09:52:07,2025-09-01 09:52:14,Off,0,0,253,13.078544099999998-80.19920246666668,83,36,100,54.023,2,Charging,7062,1,11,29,30,29,-,-
2025-09-01 09:53:07,2025-09-01 09:53:11,Off,0,0,253,13.078538-80.19916178333332,83,36,100,54.029,2,Charging,7095,1,10,29,30,29,-,-
2025-09-01 09:54:07,2025-09-01 09:54:10,Off,0,0,253,13.078527833333332-80.19916178333332,84,36,100,54.032,2,Charging,7127,1,10,29,30,29,-,-
2025-09-01 09:55:06,2025-09-01 09:55:10,Off,0,0,253,13.078517666666668-80.19915365,84,36,100,54.035,2,Charging,7160,1,10,29,30,29,-,-
2025-09-01 09:56:06,2025-09-01 09:56:11,Off,0,0,253,13.078507483333333-80.19915365,84,36,100,54.038,2,Charging,7193,6,11,29,30,29,-,-
2025-09-01 09:57:06,2025-09-01 09:57:11,Off,0,0,253,13.078554283333336-80.19915365,85,36,100,54.04,2,Charging,7226,1,11,29,30,30,-,-
2025-09-01 09:58:06,2025-09-01 09:58:09,Off,0,0,253,13.078554283333336-80.19913736666668,85,36,100,54.047,2,Charging,7259,1,11,29,30,30,-,-
2025-09-01 09:59:06,2025-09-01 09:59:09,Off,0,0,253,13.078572583333335-80.19917806666668,85,36,100,54.05,2,Charging,7291,1,10,29,30,30,-,-
2025-09-01 10:00:05,2025-09-01 10:00:09,Off,0,0,253,13.078580733333334-80.19917806666668,86,36,100,54.053,2,Charging,7324,6,11,29,30,30,-,-
2025-09-01 10:01:05,2025-09-01 10:01:09,Off,0,0,253,13.078572583333335-80.19920246666668,86,36,100,54.057,2,Charging,7357,1,11,29,30,30,-,-
2025-09-01 10:02:05,2025-09-01 10:02:08,Off,0,0,253,13.078535966666667-80.19919433333332,86,36,100,54.061,2,Charging,7390,1,11,29,30,30,-,-
2025-09-01 10:03:05,2025-09-01 10:03:08,Off,0,0,253,13.078542066666667-80.19919433333332,87,36,100,54.065,2,Charging,7422,1,10,29,30,30,-,-
2025-09-01 10:04:04,2025-09-01 10:04:11,Off,0,0,253,13.078540033333335-80.19919433333332,87,36,100,54.068,2,Charging,7455,6,11,30,30,30,-,-
2025-09-01 10:05:04,2025-09-01 10:05:08,Off,0,0,253,13.078554283333336-80.19920246666668,87,36,100,54.073,2,Charging,7488,1,11,30,30,30,-,-
2025-09-01 10:06:04,2025-09-01 10:06:08,Off,0,0,253,13.078580733333334-80.19921061666668,87,36,100,54.076,2,Charging,7521,1,11,30,30,30,-,-
2025-09-01 10:07:03,2025-09-01 10:07:08,Off,0,0,253,13.078590899999998-80.19921875,88,36,100,54.081,2,Charging,7553,1,10,30,30,30,-,-
2025-09-01 10:08:04,2025-09-01 10:08:07,Off,0,0,253,13.078548183333332-80.1991862,88,36,100,54.085,2,Charging,7586,6,11,30,30,30,-,-
2025-09-01 10:09:03,2025-09-01 10:09:11,Off,0,0,253,13.078501383333332-80.1991862,88,36,100,54.089,2,Charging,7619,1,11,30,30,30,-,-
2025-09-01 10:10:03,2025-09-01 10:10:08,Off,0,0,253,13.078538-80.1991862,89,36,100,54.097,2,Charging,7652,1,10,30,31,30,-,-
2025-09-01 10:11:03,2025-09-01 10:11:06,Off,0,0,253,13.078574633333336-80.19917806666668,89,36,100,54.102,2,Charging,7685,6,11,30,31,30,-,-
2025-09-01 10:12:03,2025-09-01 10:12:06,Off,0,0,253,13.078550216666667-80.19916178333332,89,36,100,54.108,2,Charging,7717,1,11,30,31,30,-,-
2025-09-01 10:13:02,2025-09-01 10:13:06,Off,0,0,253,13.078458666666666-80.1991455,90,36,100,54.114,2,Charging,7750,6,11,30,31,30,-,-
2025-09-01 10:14:02,2025-09-01 10:14:06,Off,0,0,253,13.078448483333334-80.19915365,90,36,100,54.118,2,Charging,7783,6,11,30,31,30,-,-
2025-09-01 10:15:01,2025-09-01 10:15:06,On,2,0,253,13.07850545-80.1992513,90,0,100,53.69,2,Idle,7789,3,1,30,31,30,-,-
2025-09-01 10:16:02,2025-09-01 10:16:05,On,2,0,253,13.078515633333332-80.19926758333332,90,0,100,53.6,2,Idle,7789,1,1,30,31,30,-,-
2025-09-01 10:17:02,2025-09-01 10:17:06,On,2,0,253,13.0785258-80.1991862,90,0,100,53.552,2,Idle,7789,1,1,30,31,30,-,-
2025-09-01 10:18:01,2025-09-01 10:18:05,On,0,0,253,13.078495283333332-80.19919433333332,90,0,100,53.524,2,Idle,7789,1,7,30,31,30,-,-
2025-09-01 10:19:01,2025-09-01 10:19:05,On,0,0,253,13.078560383333334-80.19921061666668,90,0,100,53.504,2,Idle,7788,1,1,30,31,30,-,-
2025-09-01 10:20:01,2025-09-01 10:20:04,On,0,0,253,13.078568516666667-80.19920246666668,90,0,100,53.488,2,Idle,7788,1,1,30,31,30,-,-
2025-09-01 10:21:01,2025-09-01 10:21:04,On,0,0,253,13.078580733333334-80.19921875,90,0,100,53.473,2,Idle,7788,1,13,30,31,30,-,-
2025-09-01 10:22:00,2025-09-01 10:22:04,On,0,0,253,13.078535966666667-80.19916991666668,90,0,100,53.462,2,Idle,7788,1,6,30,31,30,-,-
2025-09-01 10:23:00,2025-09-01 10:23:04,On,0,0,253,13.078523766666668-80.19915365,90,0,100,53.456,2,Idle,7788,1,1,30,31,30,-,-
2025-09-01 10:24:00,2025-09-01 10:24:04,On,0,0,253,13.07850545-80.19916178333332,90,0,100,53.443,2,Idle,7788,1,10,30,31,30,-,-
2025-09-01 10:25:00,2025-09-01 10:25:03,On,0,0,253,13.078513583333331-80.19917806666668,90,0,100,53.44,2,Idle,7788,1,1,30,31,30,-,-
2025-09-01 10:25:59,2025-09-01 10:26:04,On,0,0,253,13.078489183333334-80.19913736666668,90,0,100,53.434,2,Idle,7788,1,3,30,31,30,-,-
2025-09-01 10:26:59,2025-09-01 10:27:03,On,0,0,253,13.07849935-80.1991211,90,0,100,53.427,2,Idle,7788,1,10,30,31,30,-,-
2025-09-01 10:27:59,2025-09-01 10:28:03,On,0,0,253,13.078497316666668-80.19912923333332,90,0,100,53.424,2,Idle,7788,1,1,30,31,30,-,-
2025-09-01 10:28:59,2025-09-01 10:29:03,Off,0,0,253,13.078501383333332-80.19915365,90,0,100,53.423,2,Stop,7788,12,1,30,31,30,-,-
2025-09-01 10:30:02,2025-09-01 10:30:06,On,2,0,253,13.078544099999998-80.1991862,90,87,100,53.392,2,Idle,7785,1,1,30,31,30,-,-
2025-09-01 10:31:02,2025-09-01 10:31:05,On,0,0,253,13.078535966666667-80.1991862,90,1,100,53.392,2,Idle,7784,1,1,30,31,30,-,-
2025-09-01 10:32:02,2025-09-01 10:32:05,On,0,0,253,13.078625483333333-80.19927571666668,90,1,100,53.392,2,Idle,7783,1,1,30,31,30,-,-
2025-09-01 10:33:00,2025-09-01 10:33:05,Off,0,0,253,13.078617350000002-80.19925943333332,90,0,100,53.394,2,Stop,7782,1,10,30,31,30,-,-
2025-09-01 10:34:00,2025-09-01 10:34:03,On,2,26,254,13.07716675-80.19908853333332,90,8,100,53.163,2,Moving,7769,3,6,30,31,30,-,-
2025-09-01 10:35:01,2025-09-01 10:36:06,On,2,37,254,13.076489250000002-80.20107421666667,90,1,100,53.157,2,Moving,7746,1,6,30,31,30,-,-
2025-09-01 10:36:01,2025-09-01 10:36:04,On,2,13,254,13.076605216666668-80.20368651666666,89,34,100,52.859,2,Moving,7726,11,1,30,31,30,-,-
2025-09-01 10:36:59,2025-09-01 10:37:04,On,2,27,255,13.077233883333333-80.20773925,89,1,100,53.034,2,Moving,7696,1,5,30,31,30,-,-
2025-09-01 10:38:00,2025-09-01 10:38:05,On,2,5,255,13.077256266666666-80.21048991666666,89,2,100,53.096,2,Moving,7679,11,7,30,31,30,-,-
2025-09-01 10:39:00,2025-09-01 10:39:03,On,2,37,255,13.075937900000001-80.21358235,89,57,100,52.686,2,Moving,7655,11,1,30,31,30,-,-
2025-09-01 10:40:00,2025-09-01 10:40:03,On,2,8,256,13.075343833333333-80.2154541,89,58,100,53.126,2,Moving,7642,1,6,30,31,30,-,-
2025-09-01 10:41:00,2025-09-01 10:41:04,On,2,31,256,13.074900316666666-80.21900228333334,88,75,100,53.102,2,Moving,7622,2,1,30,31,30,-,-
2025-09-01 10:41:59,2025-09-01 10:42:03,On,2,9,256,13.072287999999999-80.22159830000001,88,2,100,53.046,2,Moving,7585,16,9,30,31,30,-,-
2025-09-01 10:42:59,2025-09-01 10:43:02,On,2,10,257,13.071732583333334-80.22230631666666,88,1,100,53.129,2,Moving,7580,1,5,30,31,30,-,-
2025-09-01 10:43:59,2025-09-01 10:44:02,On,2,15,257,13.070983883333334-80.22319336666666,88,2,100,52.906,2,Moving,7567,7,5,30,31,30,-,-
2025-09-01 10:44:59,2025-09-01 10:45:04,On,2,19,257,13.068164066666668-80.22653808333332,87,1,100,52.95,2,Moving,7529,1,6,30,31,30,-,-
2025-09-01 10:45:59,2025-09-01 10:46:07,On,2,24,258,13.066746016666665-80.23000488333334,87,25,100,53.024,2,Moving,7504,1,5,30,31,31,-,-
2025-09-01 10:46:58,2025-09-01 10:47:02,On,2,26,258,13.066304516666666-80.23213704999999,87,6,100,52.962,2,Moving,7488,11,3,30,31,31,-,-
2025-09-01 10:47:58,2025-09-01 10:48:02,On,2,28,258,13.064554850000002-80.23490396666666,87,77,100,52.881,2,Moving,7463,11,13,30,31,31,-,-
2025-09-01 10:48:58,2025-09-01 10:49:02,On,2,14,258,13.064211016666665-80.23625488333333,87,1,100,53.039,2,Moving,7448,16,1,30,31,31,-,-
